size,bytes,usage,minrelaytxfee
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
33,6318,35840,0.000010000
138,26501,149424,0.000010000
249,47753,261312,0.000010000
351,67281,374368,0.000010000
451,86426,475168,0.000010000
546,104624,591408,0.000010000
634,121474,680112,0.000010000
719,137752,765792,0.000010000
806,154405,853488,0.000010000
889,170306,937152,0.000010000
976,186956,1024848,0.000010000
1057,202469,1147456,0.000010000
1136,217601,1227088,0.000010000
1211,231960,1302688,0.000010000
1284,245941,1376272,0.000010000
1357,259913,1449856,0.000010000
1431,274076,1524448,0.000010000
1505,288252,1599040,0.000010000
1575,301663,1669600,0.000010000
1645,315070,1740160,0.000010000
1711,327705,1806688,0.000010000
1778,340541,1874224,0.000010000
1842,352804,1938736,0.000010000
1907,365255,2004256,0.000010000
1969,377124,2066752,0.000010000
2034,389568,2132272,0.000010000
2098,401822,2279712,0.000010000
2162,414079,2343216,0.000010000
2223,425757,2404704,0.000010000
2282,437439,2466192,0.000010000
2343,448733,2525664,0.000010000
2400,459644,2583120,0.000010000
2458,470743,2641584,0.000010000
2516,481847,2700048,0.000010000
2571,492373,2755488,0.000010000
2628,503290,2812944,0.000010000
2684,514010,2869392,0.000010000
2740,524736,2925840,0.000010000
2794,535069,2980272,0.000010000
2849,545595,3035712,0.000010000
2902,555937,3090144,0.000010000
2957,566268,3144576,0.000010000
3009,576223,3196992,0.000010000
3061,586184,3249408,0.000010000
3110,596931,3305200,0.000010000
3161,608655,3365936,0.000010000
3211,619705,3423168,0.000010000
3261,631209,3483904,0.000010000
3312,642480,3541136,0.000010000
3361,653716,3600544,0.000010000
3414,665435,3660112,0.000010000
3464,676702,3718512,0.000010000
3514,687978,3778080,0.000010000
3563,699023,3834144,0.000010000
3611,709841,3892544,0.000010000
3663,721795,3952112,0.000010000
3715,733287,4011680,0.000010000
3764,744337,4068912,0.000010000
3814,755582,4128320,0.000010000
3865,767089,4186720,0.000010000
3914,778138,4243952,0.000010000
3963,789188,4301184,0.000010000
4011,800007,4357248,0.000010000
4060,811053,4414480,0.000010000
4110,822327,4636720,0.000010000
4159,833380,4693952,0.000010000
4208,844432,4751184,0.000010000
4257,855483,4808416,0.000010000
4305,866305,4864480,0.000010000
4354,877357,4921712,0.000010000
4403,888369,4981120,0.000010000
4454,899876,5038352,0.000010000
4503,910925,5095584,0.000010000
4553,922198,5153984,0.000010000
4602,933242,5211216,0.000010000
4649,943837,5266112,0.000010000
4699,955107,5324512,0.000010000
4750,966602,5384080,0.000010000
4798,977426,5440144,0.000010000
4847,988470,5497376,0.000010000
4897,999711,5555616,0.000010000
4946,1010759,5612848,0.000010000
4993,1021353,5667744,0.000010000
5040,1031955,5722640,0.000010000
5088,1042779,5778704,0.000010000
5138,1054054,5837104,0.000010000
5188,1065329,5895504,0.000010000
5236,1076115,5951408,0.000010000
5283,1086712,6006304,0.000010000
5331,1097535,6062368,0.000010000
5378,1108134,6118432,0.000010000
5429,1119641,6176832,0.000010000
5479,1130914,6236400,0.000010000
